0	-1.500 	-1.500 	-1.500 	-1.500 	-1.500 	-1.500 	
0	15.000 	4.500 	1.500 	-1.500 	-4.500 	-18.750 	
1	840.000 	18.900 	0.300 	-1.500 	-29.700 	-1851.562 	
2	2819040.000 	405.972 	-0.084 	-1.500 	-1094.148 	-17150676.000 	
3	31787935858688.000 	197288.828 	0.036 	-1.500 	-1437905.000 	-1470728469741568.000 	
4	4041891476710345278924783616.000 	46707224576.000 	-0.014 	-1.500 	-2481086791680.000 	-10815211169406481342601686417408.000 	
5	inf 	2617878005620802584576.000 	0.006 	-1.500 	-7386950241613796457054208.000 	-inf 	
6	-nan 	inf 	-0.002 	-1.500 	-inf 	-inf 	
7	-nan 	-nan 	0.001 	-1.500 	-inf 	-inf 	
8	-nan 	-nan 	-0.000 	-1.500 	-inf 	-inf 	
9	-nan 	-nan 	0.000 	-1.500 	-inf 	-inf 	
10	-nan 	-nan 	-0.000 	-1.500 	-inf 	-inf 	
11	-nan 	-nan 	0.000 	-1.500 	-inf 	-inf 	
12	-nan 	-nan 	-0.000 	-1.500 	-inf 	-inf 	
13	-nan 	-nan 	0.000 	-1.500 	-inf 	-inf 	
14	-nan 	-nan 	-0.000 	-1.500 	-inf 	-inf 	
15	-nan 	-nan 	0.000 	-1.500 	-inf 	-inf 	
16	-nan 	-nan 	-0.000 	-1.500 	-inf 	-inf 	
17	-nan 	-nan 	0.000 	-1.500 	-inf 	-inf 	
18	-nan 	-nan 	-0.000 	-1.500 	-inf 	-inf 	
19	-nan 	-nan 	0.000 	-1.500 	-inf 	-inf 	
